salesCode,description,usd,ngultrum
N003-YGP,"Eight Auspicious Signs Necklace, Silver, Vermeil Gold",398,29000
N003-YGP-CZ,"Eight Auspicious Symbols Necklace, YGP CZ",397,
N004-S,"Silver Vajra necklace, large, 48cm",274,20000
N004-YG18-DIA,"Vajra Necklace Yellow Gold 18k, Diamonds 0.24 cts with Chain ength 45-50 cm + 20.9 grams",4042,295000
N005-S,"Silver Vajra necklace, Medium 3 Dimensional design - 5 Prongs, Black Diamonds .118 CTS.",261,19000
N005B-YG14,"Mid Vajra Necklace, 3 Dimensional design - 5 Prongs, 14K Yellow Gold 8.46g .115cts diamonds",1754,128000
N005B-YG14-DIA,"Mid Vajra Necklace, 3 Dimensional design - 5 Prongs, 14K Yellow Gold 8.46g .115cts diamonds",1754,
N006-AMB-B,"14K Gold Amber Necklace, With Vajras, 55cm Chain 13.4g/ 12.6g",1110,81000
N007-YGP-CZ,"Vajra Guru Mantra Necklace Gold Plated, Large 17.6g",329,24000
N007C-YGP,"Vajra Guru Mantra New, Small, Yellow Gold Plated, CZ Diamonds",247,18000
N008-YGP,"Dzambhala mantra Necklace, Gold Plated, CZ Diamonds, Large",329,24000
N008-YGP-CZ,"Dzambhala mantra Necklace, Gold Plated, CZ Diamonds, Large",329,
N009B-S,"Mani Mantra Necklace Small, Silver Tashi Mannox Design",165,12000
N009B-YGP,"Mani Mantra Necklace Gold Plated small, CZ Diamonds 9.84g",247,18000
N009B-YGP-CZ,"Mani Mantra Necklace Gold Plated small, CZ Diamonds 9.84g",247,
N010-S,"Endless Knot Hanging Necklace silver, CZ Diamonds",240,17500
N010-S-CZ,"Endless Knot Hanging Necklace silver, CZ Diamonds",240,
N010-YG14,"Hanging Endless Knot Necklace, 14K Yellow Gold 6.48g, Diamonds, .653cts",1644,120000
N010-YG14-DIA,"Hanging Endless Knot Necklace, 14K Yellow Gold 6.48g, Diamonds, .653cts",1644,
N013-S,"Malaya Logo chain with CZ diamonds, Silver, Rhodium",220,16000
N013-YGP,"Malaya Logo chain with CZ diamonds, Yellow Gold Plated",233,17000
N014-YGP,"Double Vajra, Endless Knot and Malaya Logo chain layered necklace",548,40000
N015-S,"Vajra Necklace Small 5 prongs, Silver, chain 45cm",110,8000
N016-YG18,"Vajra Necklace Medium Flat Design - 3 Prongs, Yellow 18k Gold 10.46g",2000,146000
N017-S,"Vajra Necklace, Medium, Silver, 3 Dimensional design - 5 Prongs, Chain 45cm",124,9000
N020-YG18-TQ,"Necklace, Turquoise with Diamonds .212cts, Yellow 18k gold, 10.52g",2439,178000
N022-YG18-COR,"Life Force Coral Gold Necklace with Diamonds, 0.77 CTS. YG18: 20.24g, Total: 22.42g",4590,335000
N024-S,"Om Ah Hung sacred syllables Necklace, Silver, 48cm",103,7500
N025-YG14-TQ-DIA,"Oval Turquoise Necklace, Yellow 14k Gold, Turquoise: 6.01cts, Diamonds: .15cts 5.62g",1247,91000
P005-S,"Large Phurba pendant, Three faces, 82mm, silver, with chain 70cm 17.5 grams",357,26000
P005-YG14,"Phurba Pendant, Size 82mm, just pendant: 14k Solid Gold 19.9g",3000,219000
P005-YG18,"Phurba Pendant, Size 82mm, just pendant: 18k solid gold, 25.6g:",3973,290000
P005-YG18-DIA1,"Phurba Pendant, Size 82mm, just pendant 18k Solid Gold, 18 diamonds (.31cts) 22.59g",7548,551000
P005-YG18-DIA2,"Phurba Pendant, Size 82mm, just pendant 18k full diamond set 25.28g (1.86cts)",10713,782000
P012-YG14,"Tam syllable pendant small size, 24.5mm, Yellow 14k gold, 1.21g",240,17500
P016-YG14,"Om Syllable Pendant 14k gold, .343 cts white diamonds, pendant only, 1.56g",836,61000
P018-RGP,"Sanskrit HRI syllable in a semi circle. Silver, rose gold plated. With chain.",96,7000
P019-S,"Infinity knot pendant Silver, with chain",83,6000
P019-YG14,"Infinity knot pendant 14k Solid yellow gold, pendant only - 3.75g",644,47000
P020-S,"New HUNG syllable pendant, silver, white rhodium, 44mm, with chain",83,6000
P020-YG14,"New hung syllable pendant solid gold, size 44mm, pendant only 14k Yellow Gold - 3.82g",603,44000
P021-PT,"New HUNG syllable pendant, solid Platinum, size 35mm, Pendant only, 3.89",1165,85000
P021-RG14,"Hung Syllable Pendant, Smaller, 14K Rose Gold",295,
P021-WG14,"New HUNG syllable pendant, solid 14k white gold, size 35mm, With 45cm Chain, 4.48g",713,52000
P021-YG14,"New HUNG syllable pendant, solid 14k yellow gold, size 35mm, With 45cm Chain, 4.44g",754,
P021-YG14-CH,"New HUNG syllable pendant, solid 14k yellow gold, size 35mm, With 45cm Chain, 4.44g",754,55000
P021-YG18,"New HUNG syllable pendant, solid gold, size 35mm, pendant only: 18k yellow gold 2.70g",507,37000
P023-WH18-BS,"Hung Syllable Pendant, Blue Sapphires, 43mm",1600,
P024-S,"Large Silver Vajra Pendant, with chain, Hung syllable engraved",494,36000
P025-YG18-3C,"Large 18K Solid Gold Vajra Pendant, Natural Red Rubies, white diamonds, blue sapphires, 21.6g",4247,310000
P026-S,Large Bell pendant Silver with chain,247,18000
P026-YG18,"18K Yellow Gold Gold 8.31g, Diamond: .025cts, pendant only",1987,145000
P026-YGP,Bell pendant large Gold plated 5.91g,220,
P027-S,"Vajra Pendant, Medium Size. Silver, with chain 62-45cm",206,15000
P027-YG14,"Vajra Pendant, Medium Size. pendant only 14k yellow gold 5.77g",1124,82000
P027-YG18,"Vajra Pendant, Medium Size. 18k gold, 7.00",1575.34,115000
P027-YG18-DIA,"Vajra Pendant, Medium .076cts white Diamonds 18k Yellow Gold 7.94g",1800,108000
P028-YG14,Bell pendant Small Size pendant only 14k Yellow Gold 3.18g,699,51000
P029-YG18,"Vajra Pendant, Small Size. pendant only 18 karat yellow gold, 3.36g:",768,56000
P030-S,"Melong Pendant, Silver, CZ, With Chain",199,14500
P030-YG18,"Melong (Mirror), 12 white diamonds, .06cts 18K Yellow Gold 9.8g",1781,130000
P031A-S,"Single Auspicious Pendant, Parasol, Gold Plated, With chain",103,7500
P031B-S,"Single Auspicious Pendant, Pair Of Golden Fish, Gold Plated, With chain",103,7500
P031C-S,"Single Auspicious Pendant, Vase, Gold Plated, With chain",103,7500
P031D-S,"Single Auspicious Pendant, Lotus, Gold Plated, With chain",103,7500
P031E-S,"Single Auspicious Pendant, Right Turning Conch, Gold Plated, With chain",103,7500
P031F,"Single Auspicious Pendant, Endless Knot, Gold Plated, With chain",103,7500
P031F-YG14-DIA,"Single Auspicious Victory Banner, (or any other of the 8 signs), 14Karat white & yellow gold 2.62g Diamonds 0.11 CTS. Pendant Only",713,52000
P031G-S,"Single Auspicious Pendant, Victory Banner, Gold Plated, With chain",103,7500
P031G-YG14-DIA,Single Auspicious Victory Banner Pendant Diamond 0.10 CTS. 14K 2.62g,672,
P031H-S,"Single Auspicious Pendant, Dharma Wheel, Gold Plated, With chain",103,7500
P032-YG14-MOP,"Laughing Skull Pendant, Gold, Mother Of Pearl 3.2g, .128cts",1100,56000
P033-TT14-MOP,"Clover shaped vajra pendant, white gold, yellow gold, diamonds 3.43g, .153cts",767,60000
P034-RG14,Endless Knot Diamond Pendant 14k Rose Gold 2.15.g .26cts Diamonds,1000,
P034-RG14-DIA,Endless Knot Diamond Pendant 14k Rose Gold 2.15.g .26cts Diamonds,1000,73000
P034-WG14,Endless Knot Diamond Pendant 14k White Gold 2.15.g .26cts Diamonds,1000,
P034-WG14-DIA,Endless Knot Diamond Pendant 14k White Gold 2.15.g .26cts Diamonds,1000,73000
P034-YG14,Endless Knot Diamond Pendant 14k Yellow Gold 2.15.g .26cts Diamonds,973,
P034-YG14-DIA,Endless Knot Diamond Pendant 14k Yellow Gold 2.15.g .26cts Diamonds,973,71000
P035-S,Silver Tam Syllable Pendant With Chain TASHI MANNOX DESIGN,83,6000
P035-YG14,"Solid 14K Gold Tam syllable pendant, Pendant only 4.32 grams",740,54000
P036-S,"Silver Deity Gau Locket, sapphire scratch proof crystal, openable, replaceable image, with chain.",580,
P037-S,New Ah syllable Pendant Tashi Mannox Design Silver with chain,69,5000
P037-YG14,New Ah syllable Pendant Tashi Mannox Design 3.40 grams Solid 14k Gold,583,42500
P038-S,New Tashi Mannox OM AH HUNG/ Vajra Dogtag pendant,192,14000
P040-YG18,"Hung Syllable Pendant XXL Solid 18k Yellow Gold 7.63g 50mm, 1.191cts",2727,199000
P041-CZ-S,"Tam Syllable Pendant, Silver, CZ Diamonds, With Chain",206,15000
P042-WG14-DIA,"Tam syllable Pendant White Gold 14k, Diamonds, .262 CTS. With Chain, 1.2g",672,49000
P042-YG14-DIA,"Tam Syllable Pendant YG14, Diamonds, .25cts, Pendant only, 1.18g",644,47000
P044-YGP,"Tsipatta/ Hung Syllable Gau, openable, Silver, Gold Plated, With Chain 21.68g",548,40000
P045-S,"Tara Mantra Pendant Green Agate Tashi Mannox Design silver,",576,
P045-YGP,"Tara Mantra Pendant Green Agate Tashi Mannox Design silver, gold plated. 34.19g",631,46000
P047B-YG14,"Phurba Pendant medium, 14k yellow & white gold, 4.98g, Pendant only",850,62000
P049-S,"Phurba Pendant Small, Silver, With chain 45cm 4.04g",83,6000
P049-YG14,"Phurba Pendant Small, Yellow Gold 14k , 2.42g: Pendant only",425,31000
P050-S,"Drigug Pendant Small, Silver, With chain 45cm 4.02g",83,6000
P050-YG14,"Drigug Pendant Small, Yellow Gold 14k, 2.44g Pendant only",425,31000
P051-WG18,"Endless Knot Pendant, Small, White Gold 18k, With Chain 50cm, 5.07g",1096,80000
P051-YG14,"Endless Knot Pendant, Small, Yellow Gold 14k With Chain, 3.94g",672,49000
P052-S,"Bam Syllable Pendant, Silver, with chain 2.59g",83,6000
P052-YG14,"Bam Syllable Pendant, Yellow Gold 14k, 3.23g",562,41000
P055-S,"Double Dorje Pendant, Silver, CZ Diamond, With Chain",110,8000
P055-YG14,"Double Dorje Pendant, Yellow 14K Gold, 2.72g, central diamond .029cts, pendant only",480,35000
P056-WG18-BS,"New Hung Syllable Pendant, Natural Blue Sapphires, 43mm, with chain 18k White Gold - 5.35g",1644,120000
P057-S-CZ,"Hung Syllable Pendant CZ diamonds, Silver With Chain",240,
P057-WG14-DIA,"Hung Syllable Pendant Diamond 0.41 CTS, Small WG14 With Chain",1439,105000
