sku,code,name,category,material,qty,cost,retail,images,productIds
R017C-S,R017C,,Rings,Silver,,,,1,
R017D-S,R017D,"Double Dorje Ring, silver, brushed finished surface, sanded insert, polished edges",Rings,Silver,,,143.84,,
R019-YG18,R019,"Infinity Knot Eternal Band, 18k Gold 4.8g, female size (51-55)",Rings,18k Gold,,,917.81,,
R019-YG18-DIA,R019,"Infinity Knot Eternal Band, 18k Gold, diamonds .05cts, 5.64 female size (51-55)",Rings,18k Gold,,,1150.68,,
R019A-WG18,R019A,"Ring eternity infinity auspicious 18k White Gold, male size (59-60), 6g",Rings,White Gold,,,1150.68,4,
R019A-YG18,R019A,,Rings,18k Gold,,,,4,
R019B-YG18,R019B,,Rings,18k Gold,,,,5,
R020-YG18,R020,"Infinity Knot Eternal Band, Thinner, With Background, 18k Yellow Gold 4.7g female size (51-55)",Rings,18k Gold,,,1000,6,
R020B-YG18,R020B,"Large endless knot ring, THICKER, 18k yellow gold, Size 53 (female), 5.34g",Rings,18k Gold,,,1013.7,4,
R021-WG14-DIA,R021,"Infinity Knot Ring, 14k White Gold, Diamonds 5.1g .71cts",Rings,White Gold,,,1643.84,5,
R021-YG14,R021,"Infinity Knot Ring, 14k Gold 4.9g",Rings,14k Gold,,,931.51,4,
R021-YG18-DIA,R021,"Endless Knot Ring 18k Yellow Gold, Diamonds 5.79g, .71cts",Rings,18k Gold,,,2150.68,4,
R022-YG14-RR,R022,Red Ruby Jewels Ring Ruby - 5.5cts 0.494cts diamonds 14k yellow gold 4.37g,Rings,14k Gold,,,2136.99,8,
R023-YG14-CIT,R023,Citrine “Sunshine” Diamond 14K Vajra Ring Citrine - 3.34cts 0.598cts Diamonds 14k yellow gold 3.59g,Rings,14k Gold,,,2041.1,,
R023-YG14-CIT-DIA,R023,,Rings,14k Gold,,,,10,
R023-YG14-RR,R023,Red Ruby Vajras Ring Ruby - 3.34cts 0.598cts Diamonds 14k yellow gold 3.59g,Rings,14k Gold,,,2041.1,5,
R025-26-A-YG18,R025,,Rings,18k Gold,,,,7,
R025A-YG18,R025A,"A pair of Dorje and Bell Wedding Bands, Sanded Finish, Simple Design 4 diamonds... 18k Yellow Gold: approx 17g",Rings,18k Gold,,,3287.67,,
R025C-YG18,R025C,"A pair of Dorje and Bell Wedding Bands, Brushed Finish, Protruding Design, 14 diamonds... 18k Yellow Gold: approx 19g",Rings,18k Gold,,,3356.16,,
