Sales Code,Description,USD,Ngultrum
R023-YG14-CIT,Citrine “Sunshine” Diamond 14K Vajra Ring Citrine - 3.34cts 0.598cts Diamonds 14k yellow gold 3.59g," $ 2,041.10 ","149,000"
R025A-YG18,"A pair of Dorje and Bell Wedding Bands, Sanded Finish, Simple Design 4 diamonds... 18k Yellow Gold: approx 17g"," $ 3,287.67 ","240,000"
R025C-YG18,"A pair of Dorje and Bell Wedding Bands, Brushed Finish, Protruding Design, 14 diamonds... 18k Yellow Gold: approx 19g"," $ 3,356.16 ","245,000"
R029-S,"Malaya Dream Ring, CZ Diamonds Sterling Rhodinated Silver", $ 200.00 ,"14,600"
R029-YG18,"Malaya Dream Ring, .255cts Diamonds 18k gold 9.77g"," $ 1,917.81 ","140,000"
R026-WG14-AQ,"Aquamarine Ring, .28cts White Diamonds, 14k White Gold 5.29g"," $ 2,383.56 ","174,000"
4022A.6G,Oval Malaya Aquamarine Ring 14K White Gold gold 2.54g, $ 575.34 ,"42,000"
R041-YG14-TQ,"Oval Cabochon Turquoise Malaya Ring with Diamonds 0.22 CTS. total: 3.57g, 14k: 2.94g Turquoise: 3.15cts"," $ 1,013.70 ","74,000"
R042-YG18-TQ-DIA,“Ratna” Turquoise Ring 5.53cts With Diamonds .043cts. Yellow 18k Gold 5.01g," $ 1,013.70 ","74,000"
R044-YG18-TQ,"Oval Turquoise Diamond Ring, Endless knot design in gallery, 3.25 CTS. Turquoise. Diamonds 0.28 CTS. 3.86g"," $ 1,301.37 ","95,000"
R047-YG18,"Gold bands sizes 50-61, vajra & bell engravings, yellow 18k gold Small sizes", $ 328.77 ,"24,000"
R047-WG18,"Gold bands sizes 50-54, bell engravings, white 18k gold Small sizes", $ 342.47 ,"25,000"
R048-YG14-TQ-DIA-BT,"Intricate Ring, Turquoise, 14k Gold, Diamonds, Blue Topaz Turquoise 2.60 CTS. Blue Topaz .22 CTS. Diamonds .17 CTS. 6.16g"," $ 1,424.66 ","104,000"
N002-S,"Tara Mantra Necklace, Silver, White Rhodium, chain CH060, 50cm", $ 273.97 ,"20,000"
N002-S-CZ,"Tara Mantra Necklace, Silver, White Rhodium, chain CH060, CZ Diamonds 50cm", $ 328.77 ,"24,000"
N002-YGP,"Tara Mantra Necklace, Silver, Gold Plated, chain CH060, 50cm, chain CH040", $ 356.16 ,"26,000"
N002-YGP-CZ,"Tara Mantra Necklace, Silver Gold Plated, White CZ Diamonds", $ 383.56 ,"28,000"
N003-YGP,"Eight Auspicious Signs Necklace, Silver, Vermeil Gold", $ 397.26 ,"29,000"
N004-S,"Silver Vajra necklace, large, 48cm", $ 273.97 ,"20,000"
N004-YG18-DIA,"Vajra Necklace Yellow Gold 18k, Diamonds 0.24 cts with Chain ength 45-50 cm + 20.9 grams"," $ 4,041.10 ","295,000"
